"geneId","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","hgnc_symbol"
288,"chr10",60074353,60074753,401,"*","Promoter (1-2kb)",10,60063109,60072569,9461,2,"ENST00000621739.1",-1784,"ENSG00000151150","ANK3","ankyrin 3",NA
288,"chr10",60093337,60093737,401,"*","Intron (ENST00000280772.7/288, intron 28 of 43)",10,60086543,60088358,1816,2,"ENST00000465749.2",-4979,"ENSG00000151150","ANK3","ankyrin 3",NA
320,"chr9",69546816,69547216,401,"*","Intron (ENST00000265381.7/320, intron 1 of 12)",9,69427532,69495534,68003,2,"ENST00000699288.1",-51282,"ENSG00000107282","APBA1","amyloid beta precursor protein binding family A member 1",NA
331,"chrX",123909539,123909939,401,"*","3' UTR",23,123899949,123907858,7910,1,"ENST00000698505.1",9590,"ENSG00000101966","XIAP","X-linked inhibitor of apoptosis",NA
331,"chrX",123878163,123878563,401,"*","Intron (ENST00000422098.6/331, intron 3 of 8)",23,123860454,123888683,28230,1,"ENST00000468503.1",17709,"ENSG00000101966","XIAP","X-linked inhibitor of apoptosis",NA
367,"chrX",67725973,67726373,401,"*","3' UTR",23,67545144,67723936,178793,1,"ENST00000396044.8",180829,"ENSG00000169083","AR","androgen receptor",NA
400,"chr12",101439255,101439655,401,"*","Distal Intergenic",12,101393116,101407772,14657,2,"ENST00000261636.13",-31483,"ENSG00000120805","ARL1","ARF like GTPase 1",NA
412,"chrX",7261673,7262073,401,"*","Intron (ENST00000664306.2/412, intron 6 of 12)",23,7219456,7354810,135355,1,"ENST00000217961.5",42217,"ENSG00000101846","STS","steroid sulfatase",NA
466,"chr12",50752357,50752757,401,"*","Distal Intergenic",12,50763710,50814192,50483,1,"ENST00000552510.5",-10953,"ENSG00000123268","ATF1","activating transcription factor 1",NA
491,"chr3",10457545,10457945,401,"*","Intron (ENST00000397077.6/491, intron 1 of 19)",3,10328102,10449613,121512,2,"ENST00000645850.1",-7932,"ENSG00000157087","ATP2B2","ATPase plasma membrane Ca2+ transporting 2",NA
535,"chr17",42509772,42510172,401,"*","Promoter (2-3kb)",17,42507335,42522582,15248,1,"ENST00000585828.5",2437,"ENSG00000033627","ATP6V0A1","ATPase H+ transporting V0 subunit a1",NA
546,"chrX",77814218,77814618,401,"*","Distal Intergenic",23,77696688,77786233,89546,2,"ENST00000622960.1",-27985,"ENSG00000085224","ATRX","ATRX chromatin remodeler",NA
586,"chr12",24947646,24948046,401,"*","Promoter (<=1kb)",12,24817809,24949043,131235,2,"ENST00000539780.5",997,"ENSG00000060982","BCAT1","branched chain amino acid transaminase 1",NA
596,"chr18",63192830,63193230,401,"*","Intron (ENST00000678134.1/596, intron 2 of 2)",18,63128212,63161869,33658,2,"ENST00000590515.1",-30961,"ENSG00000171791","BCL2","BCL2 apoptosis regulator",NA
596,"chr18",63303656,63304056,401,"*","Intron (ENST00000678134.1/596, intron 1 of 2)",18,63123346,63318666,195321,2,"ENST00000678134.1",14610,"ENSG00000171791","BCL2","BCL2 apoptosis regulator",NA
596,"chr18",63262325,63262725,401,"*","Intron (ENST00000678134.1/596, intron 2 of 2)",18,63123346,63318666,195321,2,"ENST00000678134.1",55941,"ENSG00000171791","BCL2","BCL2 apoptosis regulator",NA
596,"chr18",63112051,63112451,401,"*","Distal Intergenic",18,63123346,63138411,15066,2,"ENST00000677635.1",25960,"ENSG00000171791","BCL2","BCL2 apoptosis regulator",NA
634,"chr19",42523855,42524255,401,"*","Intron (ENST00000685574.2/100996307, intron 2 of 3)",19,42527062,42527822,761,2,"ENST00000471298.2",3567,"ENSG00000079385","CEACAM1","CEA cell adhesion molecule 1",NA
641,"chr15",90738687,90739087,401,"*","Intron (ENST00000355112.8/641, intron 1 of 21)",15,90747390,90749960,2571,1,"ENST00000559282.1",-8303,"ENSG00000197299","BLM","BLM RecQ like helicase",NA
783,"chr10",18306026,18306426,401,"*","Intron (ENST00000324631.13/783, intron 2 of 13)",10,18340709,18543557,202849,1,"ENST00000377329.10",-34283,"ENSG00000165995","CACNB2","calcium voltage-gated channel auxiliary subunit beta 2",NA
783,"chr10",18418523,18418923,401,"*","Intron (ENST00000324631.13/783, intron 3 of 13)",10,18401963,18540325,138363,1,"ENST00000651468.1",16560,"ENSG00000165995","CACNB2","calcium voltage-gated channel auxiliary subunit beta 2",NA
817,"chr4",113593639,113594039,401,"*","Intron (ENST00000683023.1/817, intron 4 of 19)",4,113451045,113616634,165590,2,"ENST00000699415.1",22595,"ENSG00000145349","CAMK2D","calcium/calmodulin dependent protein kinase II delta",NA
832,"chr1",19495025,19495425,401,"*","Intron (ENST00000648702.1/440574, intron 1 of 3)",1,19356655,19485539,128885,2,"ENST00000459967.6",-9486,"ENSG00000077549","CAPZB","capping actin protein of muscle Z-line subunit beta",NA
832,"chr1",19414397,19414797,401,"*","3' UTR",1,19339374,19419737,80364,2,"ENST00000674228.1",4940,"ENSG00000077549","CAPZB","capping actin protein of muscle Z-line subunit beta",NA
836,"chr4",184662250,184662650,401,"*","Intron (ENST00000515774.5/201973, intron 4 of 12)",4,184627698,184650062,22365,2,"ENST00000700101.1",-12188,"ENSG00000164305","CASP3","caspase 3",NA
867,"chr11",119237510,119237910,401,"*","Intron (ENST00000634586.1/867, intron 2 of 17)",11,119206424,119313926,107503,1,"ENST00000637974.1",31086,"ENSG00000110395","CBL","Cbl proto-oncogene",NA
933,"chr19",35324065,35324465,401,"*","Intron (ENST00000598537.5/933, intron 1 of 3)",19,35328664,35332931,4268,1,"ENST00000595419.5",-4199,"ENSG00000012124","CD22","CD22 molecule",NA
942,"chr3",122088583,122088983,401,"*","Promoter (2-3kb)",3,122091601,122119593,27993,1,"ENST00000478741.1",-2618,"ENSG00000114013","CD86","CD86 molecule",NA
976,"chr19",14379271,14379671,401,"*","Promoter (<=1kb)",19,14380501,14397804,17304,1,"ENST00000587728.5",-830,"ENSG00000123146","ADGRE5","adhesion G protein-coupled receptor E5",NA
1000,"chr18",27949008,27949408,401,"*","Intron (ENST00000423367.2/ENST00000423367.2, intron 1 of 3)",18,27951212,27965835,14624,2,"ENST00000674998.1",16427,"ENSG00000170558","CDH2","cadherin 2",NA
1040,"chr4",84596680,84597080,401,"*","Intron (ENST00000295887.6/1040, intron 1 of 12)",4,84583269,84619511,36243,1,"ENST00000511298.1",13411,"ENSG00000163624","CDS1","CDP-diacylglycerol synthase 1",NA
1121,"chrX",85969322,85969722,401,"*","3' UTR",23,85978656,85981809,3154,2,"ENST00000487515.1",12087,"ENSG00000188419","CHM","CHM Rab escort protein",NA
1124,"chr7",29328623,29329023,401,"*","Intron (ENST00000439384.6/1124, intron 2 of 6)",7,29334505,29400696,66192,1,"ENST00000412536.5",-5482,"ENSG00000106069","CHN2","chimerin 2",NA
1139,"chr15",31985725,31986125,401,"*","Intron (ENST00000635978.1/1139, intron 1 of 6)",15,31978056,32169917,191862,1,"ENST00000637183.1",7669,"ENSG00000175344","CHRNA7","cholinergic receptor nicotinic alpha 7 subunit",NA
1176,"chr5",115892037,115892437,401,"*","Promoter (2-3kb)",5,115895087,115913900,18814,1,"ENST00000505423.1",-2650,"ENSG00000177879","AP3S1","adaptor related protein complex 3 subunit sigma 1",NA
1285,"chr2",227188278,227188678,401,"*","Intron (ENST00000396578.8/1285, intron 1 of 51)",2,227164624,227314792,150169,1,"ENST00000396578.8",23654,"ENSG00000169031","COL4A3","collagen type IV alpha 3 chain",NA
1387,"chr16",3856442,3856842,401,"*","Intron (ENST00000262367.10/1387, intron 1 of 30)",16,3812998,3850321,37324,2,"ENST00000636895.1",-6121,"ENSG00000005339","CREBBP","CREB binding protein",NA
1414,"chr22",26610305,26610705,401,"*","Promoter (1-2kb)",22,26601949,26608329,6381,2,"ENST00000647569.1",-1976,"ENSG00000100122","CRYBB1","crystallin beta B1",NA
1438,"chrX",1273851,1274251,401,"*","Intron (ENST00000498153.7/1438, intron 1 of 13)",23,1268845,1309934,41090,1,"ENST00000486791.6",5006,"ENSG00000198223","CSF2RA","colony stimulating factor 2 receptor subunit alpha",NA
1487,"chr4",1218805,1219205,401,"*","Promoter (2-3kb)",4,1213991,1216407,2417,2,"ENST00000511907.1",-2398,"ENSG00000159692","CTBP1","C-terminal binding protein 1",NA
1501,"chr5",10913849,10914249,401,"*","Distal Intergenic",5,10973587,11018060,44474,2,"ENST00000506324.1",103811,"ENSG00000169862","CTNND2","catenin delta 2",NA
1515,"chr9",97124628,97125028,401,"*","Intron (ENST00000681517.1/1515, intron 2 of 9)",9,97032655,97156556,123902,2,"ENST00000681517.1",31528,"ENSG00000136943","CTSV","cathepsin V",NA
1515,"chr9",97042488,97042888,401,"*","Intron (ENST00000679661.1/1515, intron 1 of 8)",9,97032655,97039174,6520,2,"ENST00000680159.1",-3314,"ENSG00000136943","CTSV","cathepsin V",NA
1539,"chr9",102796265,102796665,401,"*","Distal Intergenic",9,102995311,103006378,11068,1,"ENST00000612124.4",-198646,"ENSG00000155833","CYLC2","cylicin 2",NA
1588,"chr15",51172111,51172511,401,"*","Intron (ENST00000559909.1/109729174, intron 1 of 2)",15,51212259,51215224,2966,2,"ENST00000559653.1",42713,"ENSG00000137869","CYP19A1","cytochrome P450 family 19 subfamily A member 1",NA
1588,"chr15",51202752,51203152,401,"*","Intron (ENST00000559909.1/109729174, intron 1 of 2)",15,51212259,51215224,2966,2,"ENST00000559653.1",12072,"ENSG00000137869","CYP19A1","cytochrome P450 family 19 subfamily A member 1",NA
1608,"chr3",186280752,186281152,401,"*","Promoter (<=1kb)",3,186267685,186280714,13030,2,"ENST00000437018.2",-38,"ENSG00000058866","DGKG","diacylglycerol kinase gamma",NA
1662,"chr11",108854411,108854811,401,"*","Promoter (<=1kb)",11,108853974,108940930,86957,1,"ENST00000690248.1",437,"ENSG00000178105","DDX10","DEAD-box helicase 10",NA
1739,"chr3",197082879,197083279,401,"*","Promoter (2-3kb)",3,197080990,197085658,4669,2,"ENST00000493937.1",2379,"ENSG00000075711","DLG1","discs large MAGUK scaffold protein 1",NA
1740,"chr11",85096938,85097338,401,"*","Intron (ENST00000706233.1/1740, intron 4 of 25)",11,83459506,85133123,1673618,2,"ENST00000527088.2",35785,"ENSG00000150672","DLG2","discs large MAGUK scaffold protein 2",NA
1786,"chr19",10197725,10198125,401,"*","Promoter (2-3kb)",19,10133346,10195135,61790,2,"ENST00000340748.8",-2590,"ENSG00000130816","DNMT1","DNA methyltransferase 1",NA
1786,"chr19",10211122,10211522,401,"*","Intron (ENST00000588952.5/1786, intron 2 of 8)",19,10180355,10201197,20843,2,"ENST00000586800.5",-9925,"ENSG00000130816","DNMT1","DNA methyltransferase 1",NA
1811,"chr7",107846347,107846747,401,"*","Distal Intergenic",7,107791852,107803225,11374,2,"ENST00000453332.1",-43122,"ENSG00000091138","SLC26A3","solute carrier family 26 member 3",NA
1826,"chr21",40839556,40839956,401,"*","Intron (ENST00000400454.6/1826, intron 1 of 32)",21,40010999,40847158,836160,2,"ENST00000400454.6",7202,"ENSG00000171587","DSCAM","DS cell adhesion molecule",NA
1826,"chr21",40783292,40783692,401,"*","Intron (ENST00000400454.6/1826, intron 1 of 32)",21,40010999,40847158,836160,2,"ENST00000400454.6",63466,"ENSG00000171587","DSCAM","DS cell adhesion molecule",NA
1826,"chr21",40835176,40835576,401,"*","Intron (ENST00000400454.6/1826, intron 1 of 32)",21,40010999,40847158,836160,2,"ENST00000400454.6",11582,"ENSG00000171587","DSCAM","DS cell adhesion molecule",NA
1902,"chr9",111068745,111069145,401,"*","Distal Intergenic",9,110873263,111038470,165208,2,"ENST00000683809.1",-30275,"ENSG00000198121","LPAR1","lysophosphatidic acid receptor 1",NA
1906,"chr6",12389776,12390176,401,"*","Distal Intergenic",6,12290361,12297194,6834,1,"ENST00000379375.6",99415,"ENSG00000078401","EDN1","endothelin 1",NA
1906,"chr6",12363543,12363943,401,"*","Distal Intergenic",6,12290361,12297194,6834,1,"ENST00000379375.6",73182,"ENSG00000078401","EDN1","endothelin 1",NA
1909,"chr4",147501829,147502229,401,"*","Intron (ENST00000324300.10/1909, intron 2 of 7)",4,147485834,147532659,46826,1,"ENST00000514245.1",15995,"ENSG00000151617","EDNRA","endothelin receptor type A",NA
1946,"chr5",107296517,107296917,401,"*","Distal Intergenic",5,107380984,107388553,7570,2,"ENST00000510359.1",91636,"ENSG00000184349","EFNA5","ephrin A5",NA
2067,"chr19",45428661,45429061,401,"*","Promoter (<=1kb)",19,45420324,45429210,8887,2,"ENST00000589214.1",149,"ENSG00000012061","ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit",NA
2113,"chr11",128501916,128502316,401,"*","Intron (ENST00000535549.5/2113, intron 1 of 3)",11,128489470,128505394,15925,2,"ENST00000608978.1",3078,"ENSG00000134954","ETS1","ETS proto-oncogene 1, transcription factor",NA
2131,"chr8",117888288,117888688,401,"*","Intron (ENST00000378204.7/2131, intron 1 of 10)",8,117799587,117806902,7316,2,"ENST00000684443.1",-81386,"ENSG00000182197","EXT1","exostosin glycosyltransferase 1",NA
2185,"chr8",27328262,27328662,401,"*","Promoter (1-2kb)",8,27326823,27422385,95563,1,"ENST00000522517.5",1439,"ENSG00000120899","PTK2B","protein tyrosine kinase 2 beta",NA
2235,"chr18",57569095,57569495,401,"*","Intron (ENST00000262093.11/2235, intron 4 of 10)",18,57554260,57559545,5286,2,"ENST00000651812.1",-9550,"ENSG00000066926","FECH","ferrochelatase",NA
2251,"chr12",4477104,4477504,401,"*","Distal Intergenic",12,4434142,4445815,11674,2,"ENST00000228837.3",-31289,"ENSG00000111241","FGF6","fibroblast growth factor 6",NA
2272,"chr3",60133589,60133989,401,"*","Intron (ENST00000492590.6/2272, intron 5 of 9)",3,59749702,60080840,331139,2,"ENST00000466788.1",-52749,"ENSG00000189283","FHIT","fragile histidine triad diadenosine triphosphatase",NA
2515,"chr8",39846704,39847104,401,"*","Distal Intergenic",8,39744031,39838227,94197,2,"ENST00000521880.5",-8477,"ENSG00000104755","ADAM2","ADAM metallopeptidase domain 2",NA
2549,"chr4",143383223,143383623,401,"*","Promoter (1-2kb)",4,143381948,143395720,13773,1,"ENST00000515388.1",1275,"ENSG00000109458","GAB1","GRB2 associated binding protein 1",NA
2595,"chr15",42331255,42331655,401,"*","Intron (ENST00000318010.13/2595, intron 15 of 23)",15,42326301,42329504,3204,1,"ENST00000568953.1",4954,"ENSG00000214013","GANC","glucosidase alpha, neutral C",NA
2675,"chr8",21744222,21744622,401,"*","Intron (ENST00000524240.6/2675, intron 4 of 8)",8,21693182,21788159,94978,2,"ENST00000517892.5",43537,"ENSG00000168546","GFRA2","GDNF family receptor alpha 2",NA
2729,"chr6",53460874,53461274,401,"*","Distal Intergenic",6,53498142,53501350,3209,2,"ENST00000515580.1",40076,"ENSG00000001084","GCLC","glutamate-cysteine ligase catalytic subunit",NA
2729,"chr6",53507193,53507593,401,"*","Promoter (<=1kb)",6,53500200,53507078,6879,2,"ENST00000504353.1",-115,"ENSG00000001084","GCLC","glutamate-cysteine ligase catalytic subunit",NA
2770,"chr7",80206748,80207148,401,"*","Promoter (2-3kb)",7,80210112,80217812,7701,1,"ENST00000649208.1",-2964,"ENSG00000127955","GNAI1","G protein subunit alpha i1",NA
2774,"chr18",11791080,11791480,401,"*","Intron (ENST00000334049.11/2774, intron 4 of 11)",18,11753548,11868586,115039,1,"ENST00000590228.1",37532,"ENSG00000141404","GNAL","G protein subunit alpha L",NA
2779,"chr3",50189254,50189654,401,"*","Promoter (1-2kb)",3,50191610,50197696,6087,1,"ENST00000232461.8",-1956,"ENSG00000114349","GNAT1","G protein subunit alpha transducin 1",NA
2787,"chr1",84491489,84491889,401,"*","Intron (ENST00000370654.6/80135, intron 5 of 8)",1,84498325,84503833,5509,2,"ENST00000487806.5",11944,"ENSG00000174021","GNG5","G protein subunit gamma 5",NA
2829,"chr3",46045479,46045879,401,"*","Intron (ENST00000683768.1/2829, intron 5 of 5)",3,46017024,46027487,10464,2,"ENST00000395946.3",-17992,"ENSG00000173578","XCR1","X-C motif chemokine receptor 1",NA
2833,"chrX",71629499,71629899,401,"*","Distal Intergenic",23,71615919,71618511,2593,2,"ENST00000373693.4",-10988,"ENSG00000186810","CXCR3","C-X-C motif chemokine receptor 3",NA
2861,"chr7",124738098,124738498,401,"*","Distal Intergenic",7,124743885,124765792,21908,2,"ENST00000303921.3",27294,"ENSG00000170775","GPR37","G protein-coupled receptor 37",NA
2888,"chr2",164232002,164232402,401,"*","Intron (ENST00000429636.1/ENST00000429636.1, intron 2 of 4)",2,164492822,164497052,4231,2,"ENST00000497306.1",264650,"ENSG00000115290","GRB14","growth factor receptor bound protein 14",NA
2890,"chr5",153619739,153620139,401,"*","Intron (ENST00000481559.6/2890, intron 2 of 10)",5,153573228,153655865,82638,1,"ENST00000520966.1",46511,"ENSG00000155511","GRIA1","glutamate ionotropic receptor AMPA type subunit 1",NA
2890,"chr5",153652339,153652739,401,"*","Intron (ENST00000481559.6/2890, intron 4 of 10)",5,153573228,153655865,82638,1,"ENST00000520966.1",79111,"ENSG00000155511","GRIA1","glutamate ionotropic receptor AMPA type subunit 1",NA
2895,"chr4",92764138,92764538,401,"*","Intron (ENST00000282020.9/2895, intron 2 of 15)",4,92822949,93112247,289299,1,"ENST00000515744.5",-58411,"ENSG00000152208","GRID2","glutamate ionotropic receptor delta type subunit 2",NA
2909,"chr19",46984459,46984859,401,"*","Intron (ENST00000672722.1/2909, intron 3 of 6)",19,46989584,46997750,8167,1,"ENST00000596593.1",-4725,"ENSG00000160007","ARHGAP35","Rho GTPase activating protein 35",NA
2912,"chr3",51724023,51724423,401,"*","Distal Intergenic",3,51711272,51714068,2797,1,"ENST00000496661.1",12751,"ENSG00000164082","GRM2","glutamate metabotropic receptor 2",NA
2971,"chr13",27415147,27415547,401,"*","Distal Intergenic",13,27424619,27435823,11205,1,"ENST00000381140.10",-9072,"ENSG00000122034","GTF3A","general transcription factor IIIA",NA
2993,"chr4",144316869,144317269,401,"*","Exon (ENST00000651102.1/105377460, exon 13 of 15)",4,144109304,144140751,31448,2,"ENST00000360771.8",-176118,"ENSG00000170180","GYPA","glycophorin A (MNS blood group)",NA
2995,"chr2",126491719,126492119,401,"*","Distal Intergenic",2,126656133,126658767,2635,1,"ENST00000484700.2",-164014,"ENSG00000136732","GYPC","glycophorin C (Gerbich blood group)",NA
3092,"chr7",75711821,75712221,401,"*","Intron (ENST00000336926.11/3092, intron 1 of 30)",7,75654413,75738935,84523,2,"ENST00000485723.1",26714,"ENSG00000127946","HIP1","huntingtin interacting protein 1",NA
3142,"chr1",220878119,220878519,401,"*","Promoter (<=1kb)",1,220879443,220885059,5617,1,"ENST00000366903.8",-924,"ENSG00000136630","HLX","H2.0 like homeobox",NA
3158,"chr1",119787755,119788155,401,"*","Distal Intergenic",1,119748384,119768905,20522,2,"ENST00000544913.2",-18850,"ENSG00000134240","HMGCS2","3-hydroxy-3-methylglutaryl-CoA synthase 2",NA
3175,"chr15",52765035,52765435,401,"*","Intron (ENST00000305901.7/3175, intron 1 of 1)",15,52757440,52781183,23744,2,"ENST00000560699.2",15748,"ENSG00000169856","ONECUT1","one cut homeobox 1",NA
3267,"chr2",227517069,227517469,401,"*","Intron (ENST00000409979.6/3267, intron 2 of 13)",2,227510721,227524904,14184,1,"ENST00000486932.1",6348,"ENSG00000173744","AGFG1","ArfGAP with FG repeats 1",NA
3274,"chr5",175724545,175724945,401,"*","Distal Intergenic",5,175683168,175710725,27558,1,"ENST00000624694.2",41377,"ENSG00000113749","HRH2","histamine receptor H2",NA
3356,"chr13",46953335,46953735,401,"*","Distal Intergenic",13,46831555,46897076,65522,2,"ENST00000543956.5",-56259,"ENSG00000102468","HTR2A","5-hydroxytryptamine receptor 2A",NA
3358,"chrX",114591137,114591537,401,"*","Intron (ENST00000371951.5/3358, intron 1 of 6)",23,114584086,114910061,325976,1,"ENST00000276198.6",7051,"ENSG00000147246","HTR2C","5-hydroxytryptamine receptor 2C",NA
3445,"chr9",21412138,21412538,401,"*","Exon (ENST00000698394.1/554202, exon 4 of 4)",9,21409117,21410185,1069,1,"ENST00000380205.2",3021,"ENSG00000120242","IFNA8","interferon alpha 8",NA
3456,"chr9",21096169,21096569,401,"*","Distal Intergenic",9,21077104,21077942,839,2,"ENST00000380232.4",-18227,"ENSG00000171855","IFNB1","interferon beta 1",NA
3475,"chr7",112453482,112453882,401,"*","Promoter (1-2kb)",7,112452058,112477200,25143,1,"ENST00000535603.5",1424,"ENSG00000006652","IFRD1","interferon related developmental regulator 1",NA
3480,"chr15",98956400,98956800,401,"*","Intron (ENST00000649865.1/3480, intron 20 of 20)",15,98952795,98957292,4498,1,"ENST00000558751.1",3605,"ENSG00000140443","IGF1R","insulin like growth factor 1 receptor",NA
3512,"chr4",70658112,70658512,401,"*","Intron (ENST00000472903.5/101927297, intron 1 of 3)",4,70655541,70666508,10968,2,"ENST00000254801.9",7996,"ENSG00000132465","JCHAIN","joining chain of multimeric IgA and IgM",NA
3516,"chr4",26150842,26151242,401,"*","Distal Intergenic",4,26163455,26415605,252151,1,"ENST00000512351.5",-12213,"ENSG00000168214","RBPJ","recombination signal binding protein for immunoglobulin kappa J region",NA
3587,"chr11",117977057,117977457,401,"*","Distal Intergenic",11,117986370,117999798,13429,1,"ENST00000530761.5",-8913,"ENSG00000110324","IL10RA","interleukin 10 receptor subunit alpha",NA
3631,"chr2",98477927,98478327,401,"*","Intron (ENST00000409016.8/3631, intron 1 of 25)",2,98444950,98581821,136872,1,"ENST00000409540.7",32977,"ENSG00000040933","INPP4A","inositol polyphosphate-4-phosphatase type I A",NA
3655,"chr2",172208738,172209138,401,"*","Intron (ENST00000715288.1/104326193, intron 3 of 5)",2,172234216,172506410,272195,1,"ENST00000715295.1",-25078,"ENSG00000091409","ITGA6","integrin subunit alpha 6",NA
3667,"chr2",226767051,226767451,401,"*","Intron (ENST00000305123.6/3667, intron 1 of 1)",2,226792138,226795246,3109,2,"ENST00000498335.1",27795,"ENSG00000169047","IRS1","insulin receptor substrate 1",NA
3720,"chr6",15389800,15390200,401,"*","Intron (ENST00000341776.7/3720, intron 2 of 17)",6,15501358,15508393,7036,1,"ENST00000474854.1",-111158,"ENSG00000008083","JARID2","jumonji and AT-rich interaction domain containing 2",NA
3741,"chr12",5140229,5140629,401,"*","Distal Intergenic",12,5043879,5046788,2910,1,"ENST00000252321.5",96350,"ENSG00000130037","KCNA5","potassium voltage-gated channel subfamily A member 5",NA
3759,"chr17",70202832,70203232,401,"*","Distal Intergenic",17,70169532,70180044,10513,1,"ENST00000243457.4",33300,"ENSG00000123700","KCNJ2","potassium inwardly rectifying channel subfamily J member 2",NA
3782,"chr1",154791374,154791774,401,"*","Intron (ENST00000271915.9/3782, intron 2 of 7)",1,154707426,154859843,152418,2,"ENST00000361147.8",68069,"ENSG00000143603","KCNN3","potassium calcium-activated channel subfamily N member 3",NA
3786,"chr8",132315820,132316220,401,"*","Intron (ENST00000388996.10/3786, intron 1 of 14)",8,132126541,132321522,194982,2,"ENST00000639496.1",5302,"ENSG00000184156","KCNQ3","potassium voltage-gated channel subfamily Q member 3",NA
3899,"chr2",100192827,100193227,401,"*","Promoter (<=1kb)",2,100104514,100192428,87915,2,"ENST00000672999.1",-399,"ENSG00000144218","AFF3","ALF transcription elongation factor 3",NA
3953,"chr1",65605657,65606057,401,"*","Intron (ENST00000371059.7/3953, intron 11 of 19)",1,65619940,65623384,3445,1,"ENST00000471762.1",-13883,"ENSG00000116678","LEPR","leptin receptor",NA
4004,"chr11",8222875,8223275,401,"*","Distal Intergenic",11,8224449,8263388,38940,2,"ENST00000524379.1",40113,"ENSG00000166407","LMO1","LIM domain only 1",NA
4009,"chr1",165371879,165372279,401,"*","Distal Intergenic",1,165201867,165356715,154849,2,"ENST00000342310.7",-15164,"ENSG00000162761","LMX1A","LIM homeobox transcription factor 1 alpha",NA
4010,"chr9",126666348,126666748,401,"*","Intron (ENST00000355497.10/4010, intron 2 of 7)",9,126613928,126701032,87105,1,"ENST00000526117.6",52420,"ENSG00000136944","LMX1B","LIM homeobox transcription factor 1 beta",NA
4023,"chr8",19975400,19975800,401,"*","Distal Intergenic",8,19956005,19967196,11192,1,"ENST00000650478.1",19395,"ENSG00000175445","LPL","lipoprotein lipase",NA
4026,"chr3",188581759,188582159,401,"*","Promoter (2-3kb)",3,188584347,188609606,25260,1,"ENST00000487347.1",-2188,"ENSG00000145012","LPP","LIM domain containing preferred translocation partner in lipoma",NA
4026,"chr3",188097805,188098205,401,"*","Distal Intergenic",3,188153284,188712842,559559,1,"ENST00000448637.5",-55079,"ENSG00000145012","LPP","LIM domain containing preferred translocation partner in lipoma",NA
4026,"chr3",188573371,188573771,401,"*","Intron (ENST00000448637.5/4026, intron 5 of 6)",3,188569031,188760201,191171,1,"ENST00000471917.1",4340,"ENSG00000145012","LPP","LIM domain containing preferred translocation partner in lipoma",NA
4063,"chr1",160795948,160796348,401,"*","Promoter (<=1kb)",1,160796074,160828261,32188,1,"ENST00000368037.9",0,"ENSG00000122224","LY9","lymphocyte antigen 9",NA
4088,"chr15",67080959,67081359,401,"*","Promoter (2-3kb)",15,67077986,67170675,92690,1,"ENST00000559937.1",2973,"ENSG00000166949","SMAD3","SMAD family member 3",NA
